id,score,date
10011854-good_soldier,53.12,2009-11-13
10011857-high_life,75.0,2010-01-15
1001193-around_the_world_in_80_days,61.25,2018-10-02
10011943-fall,40.0,2009-10-30
10011944-good_heart,41.54,2010-07-18
10011946-wonderful_world,53.18,2010-01-29
10011947-love_hurts,70.0,2009-11-13
10011949-collapse,60.14,2011-11-18
10011950-three_blind_mice,62.5,2009-10-30
10011956-colony,75.0,2010-11-18
10011973-strip,45.0,2009-12-18
10011984-last_song,42.11,2010-05-06
10012014-babies,68.15,2020-04-27
10012039-lottery_ticket,48.19,2011-01-31
10012042-going_the_distance,55.21,2010-09-10
10012044-life_as_we_know_it,47.43,2018-08-24
10012050-final,20.0,2010-08-13
10012051-frozen,57.4,2011-11-17
10012058-prodigal_sons,74.38,2010-03-18
10012063-ghost_writer,75.35,2011-11-17
10012068-repo_men,41.45,2010-07-04
10012133-veer,40.0,2019-04-17
10012136-winters_bone,82.64,2011-01-31
10012141-kids_are_all_right,84.5,2011-01-31
10012147-lucky,40.0,2011-07-22
10012150-high_school,38.12,2012-06-08
10012160-legacy,75.0,2010-01-29
10012182-promised_lands,40.0,2011-11-17
10012207-stolen,47.5,2010-04-01
10012213-welcome,65.62,2010-05-07
10012232-killing_jar,36.67,2010-03-19
10012254-la_mission,51.88,2010-07-08
10012256-predators,57.67,2010-08-13
10012263-double_take,67.25,2010-06-04
10012264-stonewall,74.75,2010-08-17
10012282-oath,74.29,2011-01-31
10012288-wild_hunt,62.5,2010-07-15
1001240-arthur,75.83,2004-10-23
10012426-lottery,63.33,2010-07-22
1001280-assault_on_precinct_13,85.0,2005-05-09
1001294-asylum,64.17,2006-06-19
1001526-bachelor_party,67.5,2004-10-23
1001553-bad_company,73.33,2021-09-22
1001567-bad_news_bears,75.0,2004-10-23
1001572-bad_seed,51.25,2006-03-25
1001634-bang_the_drum_slowly,100.0,2004-10-23
1001781-batman,65.56,2021-08-17
1001902-beauty_and_the_beast,97.5,2018-08-06
1001_grams,66.25,2016-01-28
1002061-best_defense,10.0,2007-10-30
1002142-best_of_the_best,25.0,2000-01-01
1002178-best_of_times,40.0,2003-05-21
1002203-betrayal,100.0,2004-10-23
1002205-betrayed,50.0,2000-01-01
1002213-better_off_dead,55.0,2018-10-02
1002310-big_business,37.5,2000-01-01
1002332-big_heat,95.0,2017-11-24
1002352-big_sleep,88.44,2014-08-13
1002353-big_sleep,62.5,2018-06-15
1002361-big_town,56.25,2021-08-17
1002448-birds,100.0,2015-09-29
1002476-black_beauty,75.0,2004-10-23
1002497-black_hole,55.0,2004-10-23
1002512-black_rain,50.0,2001-08-01
1002531-black_widow,62.5,2000-01-01
1002540-blackmail,80.0,2019-01-10
1002571-blind_date,81.25,2022-05-09
1002734-bluebeard,40.0,2004-10-23
1002830-body_heat,85.5,2009-04-30
1002907-border,68.75,2021-08-06
1002930-born_yesterday,60.0,2020-03-23
1002939-boston_strangler,75.0,2004-10-23
1002947-bounty,100.0,2004-10-23
1002993-boys_from_brazil,53.67,2009-03-27
1003017-brainstorm,55.0,2004-10-23
1003033-brazil,68.33,2008-10-16
1003060-breakout,50.0,2004-10-23
1003066-breathless,61.25,2004-08-30
1003076-brians_song,80.0,2010-12-22
1003094-brief_encounter,87.58,2015-11-09
1003098-bright_lights_big_city,60.83,2003-05-20
1003120-broken_blossoms,93.33,2011-08-08
1003136-brotherhood,60.0,2005-05-09
1003276-burglar,25.0,2000-01-01
1003296-bus_stop,100.0,2004-06-30
1003309-buster,75.0,2000-01-01
1003318-butch_cassidy_and_the_sundance_kid,87.5,2006-05-10
1003339-bye_bye_birdie,70.0,2015-08-01
1003399-calamity_jane,75.0,2016-04-10
1003441-camille,85.0,2004-01-28
1003492-cape_fear,100.0,2003-02-07
1003499-captain_blood,81.67,2012-02-10
1003617-carny,50.0,2004-10-23
1003625-carrie,84.29,2015-11-03
1003707-casablanca,97.05,2015-02-22
1003722-casino_royale,60.0,2008-10-13
1003746-cat_and_mouse,80.0,2008-01-15
1003757-cat_people,77.0,2020-12-30
1003758-cat_people,65.62,2007-09-26
1003854-champ,30.0,2005-05-09
1003857-champion,80.0,2006-03-25
1003883-charade,70.0,2020-04-12
1003953-charly,61.67,2005-12-21
1003972-checking_out,50.0,2000-01-01
1004110-chosen,61.25,2019-05-08
1004151-christmas_story,87.5,2013-12-04
1004177-cimarron,50.0,1931-01-26
1004323-clean_slate,62.5,2004-10-23
1004329-cleopatra,80.0,2002-12-15
1004330-cleopatra,60.0,2013-07-11
1004369-cloak_and_dagger,100.0,2020-01-24
1004463-college,63.75,2015-04-16
1004485-colors,70.83,2003-05-20
1004502-coma,40.0,2005-05-09
1004552-comfort_and_joy,82.5,2016-02-25
1004559-coming_home,75.0,2004-10-23
1004567-commando,40.0,2003-05-21
1004703-convoy,40.0,2017-05-12
1004785-count_of_monte_cristo,80.0,2003-08-01
1004790-countdown,50.0,2018-07-06
1004832-cover_girl,66.67,2012-11-28
1004906-creature_from_the_black_lagoon,77.5,2012-10-11
1004941-crime_story,80.0,2000-01-01
1004985-cross_my_heart,59.38,2022-05-10
1004995-crossroads,87.5,2000-01-01
1005107-doa,80.0,2002-10-03
1005108-doa,77.5,2001-04-17
1005155-damned,66.67,2018-07-02
1005199-dangerous_liaisons,73.12,2008-02-08
1005276-dark,37.5,2004-11-13
1005339-dawn_of_the_dead,100.0,2004-11-10
1005360-day_of_the_dead,66.5,2013-09-18
1005371-day_the_earth_stood_still,79.17,2008-12-02
1005399-dead_heat,27.5,2013-05-13
1005405-dead_of_night,93.5,2008-10-07
1005492-death_before_dishonor,25.0,2000-01-01
1005512-death_in_venice,54.17,2004-10-23
1005865-dillinger,75.0,2004-10-23
1005875-dinner_at_eight,77.5,2005-03-02
1005967-distant_thunder,75.0,2000-01-01
1005973-diva,77.5,2011-11-18
1006037-doctor_zhivago,79.38,2015-12-01
1006042-dodge_city,75.0,2005-04-22
1006068-dolls,50.0,2000-01-01
1006206-dr_jekyll_and_mr_hyde,62.5,2009-07-06
1006207-dr_jekyll_and_mr_hyde,88.0,2008-12-12
1006208-dr_jekyll_and_mr_hyde,53.0,2010-08-02
1006223-how_the_grinch_stole_christmas,100.0,2003-06-20
1006234-dracula,85.0,2002-09-26
1006236-dracula,80.0,2002-11-27
1006250-dragnet,60.5,2017-08-16
1006287-dream_team,50.0,2000-01-01
1006293-dreams,50.0,2013-07-23
1006299-dressed_to_kill,78.33,2006-09-02
1006345-duel,81.25,2022-09-22
1006364-dune,45.83,2021-09-24
1006416-east_of_eden,70.83,2005-12-06
1006425-easy_money,68.75,2012-07-13
1006438-eaten_alive,50.0,2006-09-27
1006476-oedipus_rex,80.0,2007-10-23
1006510-electric_dreams,73.75,2009-05-28
1006527-elephant_man,86.0,2020-03-12
1006646-enforcer,75.0,2004-10-23
1006717-escape_from_new_york,79.81,2018-10-25
1006872-exodus,80.0,2005-05-09
1006901-eye_for_an_eye,25.0,2000-01-01
1006917-eyewitness,67.5,2004-10-23
